0,3.12,4.14,4.22,14.71,14.88,13.24,107.72,107.98,98.04
8,10.96,5.22,11.55,11.43,13.96,10.92,100.25,108.55,97.8
16,34.38,15.95,33.37,3.83,8.63,3.79,55.67,82.75,56.24
24,55.97,42.57,56.18,1.87,2.51,0,11.47,34.84,7.86
32,58.28,55.79,59.59,1.65,0,0,7.9,5.63,6.36
40,58.66,59.23,57.97,0,0,0,5.53,3.32,5.81
48,57,57.25,61,1.5,0,0,5.45,2.76,4.85
56,57.17,57.93,57.46,1.45,0,0,5.36,2.8,4.1
64,59.78,58.58,58.76,1.5,0,0,4.67,2.78,4.27
72,58.86,61.23,61.13,1.45,0,0,4.08,1.7,3.21
